product_type,sales_office,sales_volume,gross_sales,raw_materials,packaging,other_direct_cost,variable_manufacturing,fixed_manufacturing,warehouse,trans_primary,trans_delivery,month
PET CF,North,50591,283085,1803209303,50229,3160,8937,21127,4355,1827,9362,1
PET CF,South,125,785,4889885,146,8,25,52,11,4,33,1
PET CF,South,815,5103,31784248,948,51,163,340,70,27,212,1
PET CF,South,752,4709,29339305,875,47,150,314,65,24,195,1
PET CF,Central,1005,6288,39181764,1169,63,201,419,86,33,261,1
PET CF,North,1191,7456,46453898,1385,74,238,497,103,39,309,1
PET CF,North,8022,50227,312921238,9332,501,1602,3350,691,261,2084,1
RGB CF,South,39794,140151,1259919480,5285,2486,5868,29356,3426,585,17289,1
RGB CF,South,63709,224527,2017092414,8462,3980,9394,46999,5484,936,27678,1
RGB CF,South,103379,364038,3273068286,13730,6458,15243,76263,8899,1520,44913,1
RGB CF,Central,32273,100898,1021776380,4286,2016,4759,23808,2778,474,14021,1
RGB CF,North,24267,75967,768316811,3223,1516,3578,17902,2089,357,10543,1
RGB CF,North,17655,55297,558974777,2345,1103,2603,13024,1520,260,7670,1
RGB CF,South,2636,8462,68180401,360,165,409,1944,227,1,875,1
RGB CF,South,1318,4240,34090201,180,82,204,972,113,1,438,1
RGB CF,Central,90871,255942,2350560892,12425,5676,14094,67036,7823,50,30172,1
RGB CF,North,23464,66108,606951074,3208,1466,3639,17310,2020,13,7791,1
RGB CF,North,23979,67536,620275354,3279,1498,3719,17690,2064,13,7962,1
CAN HF,South,1450,9710,61493532,2637,91,312,605,125,174,313,1
CAN HF,South,31131,210795,1320508840,56620,1945,6691,13000,2680,3728,6731,1
CAN HF,South,139,926,5897107,253,9,30,58,12,17,30,1
CAN HF,Central,38693,258956,1641270558,70374,2417,8316,16158,3331,4634,8366,1
CAN HF,North,142917,953770,6062294201,259936,8927,30718,59683,12303,17116,30902,1
CAN HF,North,234289,1567690,9938125188,426122,14635,50357,97840,20169,28060,50658,1
CAN HF,Central,1003,6711,51971100,1702,63,240,419,86,26,210,1
CAN HF,North,6017,40157,311826594,10214,376,1438,2513,518,155,1257,1
CAN HF,North,20627,138020,1068905587,35012,1288,4928,8614,1776,530,4310,1
PET HF,South,4863,30790,224818691,5746,304,1563,2031,419,82,694,1
PET HF,South,34137,217806,1578300777,40340,2132,10970,14256,2939,575,4870,1
PET HF,South,25580,163145,1182685271,30229,1598,8221,10682,2202,431,3649,1
PET HF,Central,21892,139652,1012148535,25870,1367,7035,9142,1885,369,3123,1
PET HF,North,5728,36434,264833521,6769,358,1841,2392,493,97,817,1
PET HF,North,21802,139057,1007987290,25764,1362,7006,9104,1877,367,3110,1
PET HF,South,47074,325705,2829375366,59000,2941,17634,19658,4052,1112,6980,1
PET HF,South,49301,343490,2963215123,61791,3080,18469,20588,4244,1164,7311,1
PET HF,South,37685,262502,2265036238,47232,2354,14117,15737,3244,890,5588,1
PET HF,Central,-333,-2315,-20044568,-418,-21,-125,-139,-29,-8,-49,1
PET HF,North,771,5360,46368158,967,48,289,322,66,18,114,1
PET HF,North,5826,40580,350176197,7302,364,2183,2433,502,138,864,1
PET HF,South,1225,7750,69291615,1460,77,414,511,105,0,146,1
PET HF,South,1565,9981,88524131,1865,98,529,653,135,0,186,1
PET HF,South,2959,18868,167409271,3527,185,1000,1236,255,0,353,1
PET HF,Central,463,2952,26188958,552,29,156,193,40,0,55,1
RGB HF,South,836,1989,26496090,112,52,215,617,72,55,308,1
RGB HF,South,10704,25989,339353775,1432,669,2754,7896,921,701,3946,1
RGB HF,South,30,72,942649,4,2,8,22,3,2,11,1
RGB HF,North,3745,9019,118722868,501,234,963,2763,322,245,1381,1
RGB HF,North,3584,8695,113627465,479,224,922,2644,309,235,1321,1
CAN HF,South,1,4,28556,1,0,0,0,0,0,0,1
CAN HF,South,710,4505,25244260,1315,44,77,297,61,55,91,1
CAN HF,South,334,1854,11879651,619,21,36,140,29,26,43,1
CAN HF,Central,1045,6622,37123909,1934,65,113,436,90,81,134,1
CAN HF,North,167,1060,5939825,309,10,18,70,14,13,21,1
CAN HF,North,248,1569,8795511,458,15,27,103,21,19,32,1
PET HF,South,265,1629,12939689,339,17,146,111,23,9,46,1
PET HF,South,530,3259,25879379,679,33,291,221,46,18,91,1
PET HF,South,121,741,5881678,154,8,66,50,10,4,21,1
PET HF,Central,293,2068,14312081,375,18,161,122,25,10,51,1
PET HF,North,1085,6665,52935093,1388,68,596,453,93,38,187,1
PET HF,North,675,4147,32937390,864,42,371,282,58,24,116,1
PET HF,South,2546,11458,73597668,3270,159,0,1063,219,123,309,1
PET HF,South,1186,5354,34289823,1524,74,0,495,102,58,144,1
PET HF,South,595,2676,17191375,764,37,0,248,51,29,72,1
PET HF,Central,-810,-3660,-23417440,-1040,-51,0,-338,-70,-39,-98,1
PET HF,South,72,444,3190394,90,5,40,30,6,32,12,1
PET HF,South,52,321,2304173,65,3,29,22,4,23,9,1
PET HF,South,48,296,2126929,60,3,26,20,4,21,8,1
PET HF,North,796,4888,35094329,994,50,436,332,68,354,137,1
PET HF,South,370,2022,16125510,549,23,121,282,32,33,53,1
PET HF,South,987,5408,43048101,1465,62,322,752,85,89,141,1
PET HF,South,587,3213,25590483,871,37,191,447,51,53,84,1
PET HF,Central,2931,16045,127847249,4352,183,956,2232,252,266,418,1
PET HF,North,372,2038,16230677,552,23,121,283,32,34,53,1
PET HF,North,1655,9086,72179185,2457,103,540,1260,142,150,236,1
PET HF,South,915,5014,39666075,1358,57,299,697,79,83,130,1
PET HF,South,2195,12027,95108035,3256,137,716,1671,189,199,313,1
PET HF,South,2128,11657,92217531,3157,133,694,1621,183,193,303,1
PET HF,Central,2779,15223,120426066,4122,174,906,2116,239,252,396,1
PET HF,North,622,3407,26954822,923,39,203,474,54,56,89,1
PET HF,North,6793,37213,294378696,10077,424,2216,5174,585,616,968,1
PET HF,South,388,-181,10571202,500,24,217,162,33,86,68,1
PET HF,South,965,5289,26285742,1244,60,540,403,83,214,169,1
PET HF,South,1209,6637,32939253,1559,76,677,505,104,268,212,1
PET HF,Central,153,843,4180330,198,10,86,64,13,34,27,1
PET HF,North,338,1767,9192350,435,21,189,141,29,75,59,1
PET HF,North,482,2641,13131927,622,30,270,201,42,107,84,1
PET HF,South,2391,-1114,64843806,3107,149,1001,998,206,530,418,1
PET HF,South,5168,28318,140171604,6716,323,2165,2158,445,1146,904,1
PET HF,South,8263,45463,224108916,10738,516,3461,3451,711,1833,1446,1
PET HF,Central,1407,7535,38165212,1829,88,589,588,121,312,246,1
PET HF,North,507,2654,13753426,659,32,212,212,44,112,89,1
PET HF,North,1350,7396,36617679,1754,84,565,564,116,299,236,1
PET HF,South,67699,303751,1746680047,80454,4229,25628,28272,5828,4052,13606,1
PET HF,South,155987,702383,4024548209,185375,9744,59050,65141,13428,9336,31350,1
PET HF,South,155156,698212,4003109938,184388,9692,58736,64794,13357,9286,31183,1
PET HF,Central,7723,34115,199247376,9178,482,2923,3225,665,462,1552,1
PET HF,North,7975,35263,205757645,9477,498,3019,3330,687,477,1603,1
PET HF,North,6884,30438,177601772,8181,430,2606,2875,593,412,1383,1
PET HF,South,208172,1280681,6982235566,260099,13004,101255,86934,17921,10853,25745,1
PET HF,South,201483,1240660,6757875970,251741,12586,98001,84140,17345,10504,24918,1
PET HF,South,93680,577584,3142112470,117048,5852,45566,39121,8065,4884,11586,1
PET HF,Central,137,2929,4609021,172,9,67,57,12,7,17,1
PET HF,North,2740,19392,91910887,3424,171,1333,1144,236,143,339,1
PET HF,North,3595,22592,120589239,4492,225,1749,1501,310,187,445,1
PET HF,South,1274,5732,33782833,1493,80,478,532,110,47,357,1
PET HF,South,434,1954,11509609,509,27,163,181,37,16,122,1
PET HF,South,979,4405,25960562,1148,61,367,409,84,36,274,1
PET HF,North,1851,8187,49107664,2171,116,695,773,159,68,519,1
PET HF,North,1463,6467,38791644,1715,91,549,611,126,53,410,1
PET HF,South,2011,12344,69353919,2438,126,916,840,173,304,237,1
PET HF,South,804,4927,27708317,974,50,366,336,69,121,95,1
PET HF,South,1071,6587,36935187,1299,67,488,447,92,162,126,1
PET HF,South,4585,28527,172217300,5631,286,2279,1915,395,169,459,1
PET HF,South,4725,29409,177468933,5802,295,2349,1973,407,174,473,1
PET HF,South,3502,21763,131532246,4300,219,1741,1462,301,129,351,1
PET HF,Central,2580,15747,96883550,3168,161,1282,1077,222,95,258,1
PET HF,North,2338,14275,87829013,2872,146,1162,977,201,86,234,1
PET HF,North,3327,20359,124952615,4085,208,1654,1389,286,123,333,1
PET HF,South,5,35,144358,6,0,2,2,0,0,1,1
PET HF,North,-1,-6,-24060,-1,0,0,0,0,0,0,1
CAN HF,South,2,10,77089,3,0,2,1,0,0,0,1
CAN HF,South,6,40,308354,11,0,8,3,1,1,0,1
CAN HF,Central,12,92,578165,21,1,15,5,1,1,1,1
CAN HF,South,11,70,517121,20,1,14,5,1,4,1,1
CAN HF,South,15,96,701808,27,1,19,6,1,5,1,1
CAN HF,Central,36,271,1662176,63,2,46,15,3,12,3,1
CAN HF,North,-1,-6,-36937,-1,0,-1,0,0,0,0,1
CAN CF,South,66608,529603,1715627092,117679,4161,11084,27816,5734,6947,8423,1
CAN CF,South,26013,210403,670006743,45957,1625,4328,10863,2239,2713,3289,1
CAN CF,South,22005,176640,566783894,38877,1375,3662,9189,1894,2295,2783,1
CAN CF,Central,19043,154578,490489645,33644,1190,3169,7952,1639,1986,2408,1
CAN CF,North,9740,78456,250885133,17209,608,1621,4068,839,1016,1232,1
CAN CF,North,7381,58342,190114673,13040,461,1228,3082,635,770,933,1
CAN CF,South,1419,10617,39533710,2331,89,244,593,122,148,179,1
CAN CF,South,1152,8780,32101551,1893,72,198,481,99,120,146,1
CAN CF,South,201,1518,5596505,330,13,35,84,17,21,25,1
CAN CF,Central,551,4216,15356809,905,34,95,230,47,57,70,1
CAN CF,North,1,6,22386,1,0,0,0,0,0,0,1
CAN CF,North,10,72,268632,16,1,2,4,1,1,1,1
PET CF,North,533,2606,13716567,625,33,94,222,46,0,126,1
PET CF,North,616,3011,15847497,722,38,109,257,53,0,145,1
PET CF,South,20271,114228,616755619,21053,1266,3679,8465,1745,599,4242,1
PET CF,South,6676,37639,203107589,6933,417,1212,2788,575,197,1397,1
PET CF,South,8514,47975,259049585,8843,532,1545,3556,733,251,1782,1
PET CF,Central,3676,20716,111859542,3818,230,667,1535,316,109,769,1
PET CF,North,3001,16908,91296946,3116,187,545,1253,258,89,628,1
PET CF,North,2900,16342,88240676,3012,181,526,1211,250,86,607,1
PET CF,North,2,15,94040,3,0,1,1,0,0,1,1
PET CF,South,8294,67833,485289362,9556,518,2498,3464,714,254,1786,1
PET CF,South,2387,19534,139695253,2751,149,719,997,206,73,514,1
PET CF,South,2326,19019,136074742,2679,145,701,971,200,71,501,1
PET CF,Central,716,5856,41894470,825,45,216,299,62,22,154,1
PET CF,North,1723,14090,100810036,1985,108,519,719,148,53,371,1
PET CF,North,597,4883,34935568,688,37,180,249,51,18,129,1
PMX,South,9,327,3388504,16,1,9,4,1,2,2,1
PMX,South,23,863,8933328,41,1,25,10,2,4,6,1
PMX,South,5,178,1848275,9,0,5,2,0,1,1,1
PMX,Central,9,327,3388504,16,1,9,4,1,2,2,1
PMX,North,57,2112,21871250,101,4,61,24,5,10,14,1
PMX,North,75,2766,28648257,133,5,80,31,6,13,18,1
CAN CF,South,18734,148082,479109210,32212,1170,3098,7823,1613,1954,2369,1
CAN CF,South,8717,68937,222948555,14990,545,1442,3640,750,909,1102,1
CAN CF,South,3912,30921,100047342,6727,244,647,1634,337,408,495,1
CAN CF,Central,2194,17341,56107075,3772,137,363,916,189,229,277,1
CAN CF,North,1241,9807,31732353,2133,78,205,518,107,129,157,1
CAN CF,North,1036,8188,26491582,1781,65,171,433,89,108,131,1
PET CF,North,122,597,3113911,146,8,21,51,11,0,29,1
PET CF,North,128,625,3257315,152,8,22,53,11,0,30,1
PET CF,South,8038,45293,242274635,8493,502,1417,3357,692,237,1682,1
PET CF,South,2841,16017,85626958,3002,177,501,1186,245,84,594,1
PET CF,South,1958,11035,59030521,2069,122,345,818,169,58,410,1
PET CF,Central,907,5112,27347337,959,57,160,379,78,27,190,1
PET CF,North,334,1866,10076610,353,21,59,140,29,10,70,1
PET CF,North,236,1331,7121449,250,15,42,99,20,7,49,1
PET CF,North,2,15,93119,3,0,1,1,0,0,1,1
PET CF,North,6,34,217278,6,0,2,2,0,0,2,1
PET CF,South,6289,51435,364376990,7487,393,1929,2626,541,192,1354,1
PET CF,South,1445,11822,83714519,1720,90,443,603,124,44,311,1
PET CF,South,1667,13637,96611583,1985,104,511,696,144,51,359,1
PET CF,Central,669,5474,38784312,797,42,205,280,58,20,144,1
